id,date_time,temperature_1,dewpoint_1,relative_humidity_1,precipitation_1,snow_1,wind_direction_1,wind_speed_1,wind_gust_1,air_pressure_1,sunshine_1,temperature_2,dewpoint_2,relative_humidity_2,precipitation_2,snow_2,wind_direction_2,wind_speed_2,wind_gust_2,air_pressure_2,sunshine_2,temperature_3,dewpoint_3,relative_humidity_3,precipitation_3,snow_3,wind_direction_3,wind_speed_3,wind_gust_3,air_pressure_3,sunshine_3,temperature_4,dewpoint_4,relative_humidity_4,precipitation_4,snow_4,wind_direction_4,wind_speed_4,wind_gust_4,air_pressure_4,sunshine_4,temperature_5,dewpoint_5,relative_humidity_5,precipitation_5,snow_5,wind_direction_5,wind_speed_5,wind_gust_5,air_pressure_5,sunshine_5,temperature_6,dewpoint_6,relative_humidity_6,precipitation_6,snow_6,wind_direction_6,wind_speed_6,wind_gust_6,air_pressure_6,sunshine_6,temperature_7,dewpoint_7,relative_humidity_7,precipitation_7,snow_7,wind_direction_7,wind_speed_7,wind_gust_7,air_pressure_7,sunshine_7,has_fire
941,2021-07-09 23:00:00,35.6,7.6,18.0,0.0,,310.0,14.8,,1010.0,,37.2,4.2,13.0,0.0,,330.0,13.0,,1006.9,,32.2,11.9,29.0,0.0,,310.0,14.8,,1011.6,,34.4,8.2,20.0,0.0,,310.0,9.4,,1011.8,,38.3,1.3,10.0,0.0,,0.0,0.0,,1006.8,,37.2,5.2,14.0,0.0,,30.0,5.4,,1006.9,,37.7,5.6,14.0,0.0,,330.0,27.7,,1012.3,,0.0
942,2022-08-19 06:00:00,23.0,12.6,52.0,0.0,,120.0,26.0,,1021.0,,22.0,14.1,61.0,0.0,,160.0,26.0,,1022.0,,21.0,11.0,53.0,0.0,,110.0,22.0,,1019.0,,24.0,5.3,30.0,0.0,,60.0,15.0,,1018.0,,25.0,6.2,30.0,0.0,,30.0,11.0,,1019.0,,25.0,5.7,29.0,0.0,,60.0,13.0,,1019.0,,25.0,11.2,42.0,0.0,,128.0,6.5,,1018.0,,0.0
943,2020-12-08 01:00:00,0.0,-11.1,43.0,,,80.0,11.2,,,,-5.0,-12.9,54.0,,,90.0,13.0,,,,-7.0,-13.0,62.0,,,0.0,0.0,,,,-6.0,-12.9,58.0,,,80.0,7.6,,,,-2.0,-11.0,50.0,,,0.0,0.0,,,,-3.0,-11.9,50.0,,,120.0,5.4,,,,-3.0,-11.9,50.0,,,0.0,0.0,,,,0.0
944,2021-12-08 00:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,2023-09-13 18:00:00,26.0,4.4,25.0,0.0,,200.0,13.0,,1021.0,,28.0,2.9,20.0,0.0,,180.0,11.0,,1022.0,,28.0,4.9,23.0,0.0,,240.0,15.0,,1023.0,,26.0,7.1,30.0,0.0,,100.0,6.0,,1022.0,,26.0,7.5,31.0,0.0,,90.0,17.0,,1021.0,,25.0,5.7,29.0,0.0,,170.0,9.0,,1018.0,,23.0,10.1,44.0,0.2,,151.0,11.0,,1018.0,,0.0
946,2025-05-25 13:00:00,2.2,-5.0,59.0,0.0,,40.0,5.4,,1015.4,,4.4,2.3,86.0,0.0,,290.0,9.4,,1017.0,,2.8,0.0,82.0,0.0,,0.0,0.0,,1019.6,,3.3,1.7,89.0,0.0,,0.0,0.0,,1014.7,,5.6,3.3,85.0,0.0,,0.0,0.0,,1012.3,,8.3,5.1,80.0,0.0,,0.0,0.0,,1012.4,,5.6,2.8,82.0,0.0,,0.0,0.0,,1015.6,,0.0
947,2022-12-04 12:00:00,4.4,-5.6,48.0,0.0,,0.0,0.0,,1004.8,,-3.3,-7.3,74.0,0.0,,290.0,13.0,,1010.8,,-4.4,-11.6,57.0,0.0,,160.0,14.8,,1020.1,,2.8,-5.1,56.0,0.0,,0.0,0.0,,1006.8,,-2.8,-5.0,85.0,0.2,,350.0,16.6,,1013.0,,-7.2,-12.8,64.0,0.0,,200.0,5.4,,1027.8,,-1.7,-6.1,72.0,0.0,,0.0,0.0,,1021.0,,0.0
948,2020-06-05 09:00:00,26.7,6.1,27.0,0.0,,140.0,16.6,,1008.2,,23.9,7.1,34.0,0.0,,130.0,16.6,,1004.9,,26.7,-3.0,14.0,0.0,,170.0,27.7,,1006.5,,19.4,6.8,44.0,0.0,,300.0,7.6,,1013.8,,21.1,6.6,39.0,0.0,,150.0,9.4,,1013.5,,23.3,3.2,27.0,0.0,,140.0,13.0,,1006.9,,20.0,4.1,35.0,0.0,,130.0,13.0,,1004.9,,0.0
949,2026-01-29 22:00:00,3.0,-3.1,64.0,0.0,,0.0,0.0,,1014.0,,-1.0,-11.4,45.0,0.0,,300.0,13.0,,1017.0,,1.0,-9.6,45.0,0.0,,360.0,7.0,,1024.0,,6.0,-14.1,22.0,0.0,,180.0,11.0,,1027.0,,8.0,-10.8,25.0,0.0,,0.0,0.0,,1028.0,,0.0,-1.0,93.0,0.0,,210.0,13.0,17.0,1028.0,,2.9,-4.5,58.0,0.0,,291.0,6.5,,1034.5,,0.0
950,2026-01-01 17:00:00,11.0,-1.7,41.0,0.0,,160.0,37.0,29.0,1014.0,,4.0,1.9,86.0,0.0,,150.0,7.0,,1014.0,,-1.0,-8.7,56.0,0.0,,0.0,0.0,,1032.0,,-1.0,-9.1,54.0,0.0,,180.0,7.0,,1037.0,,0.0,-6.6,61.0,0.0,,0.0,0.0,,1035.0,,1.0,-4.4,67.0,0.0,,0.0,0.0,,1028.0,,2.0,0.8,92.0,0.0,,340.0,9.0,,1019.0,,0.0
