station_identifier,name,latitude,longitude,elevation_m,timezone,url,forecast_url,fireweather_zone_url
A4613,Perimeter,25.78547,-80.28421,7.0104,America/New_York,https://api.weather.gov/stations/A4613,https://api.weather.gov/zones/forecast/FLZ074,https://api.weather.gov/zones/fire/FLZ074
A4614,Miami Fire Station #5,25.7947,-80.2156,10.0584,America/New_York,https://api.weather.gov/stations/A4614,https://api.weather.gov/zones/forecast/FLZ074,https://api.weather.gov/zones/fire/FLZ074
A4617,FBHWWTP,30.6575,-81.46417,4.8768,America/New_York,https://api.weather.gov/stations/A4617,https://api.weather.gov/zones/forecast/FLZ124,https://api.weather.gov/zones/fire/FLZ124
A4618,Sawgrass Lake Park,27.83441,-82.66525,9.144,America/New_York,https://api.weather.gov/stations/A4618,https://api.weather.gov/zones/forecast/FLZ050,https://api.weather.gov/zones/fire/FLZ050
A4619,Palatka,29.68667,-81.65639,6.096,America/New_York,https://api.weather.gov/stations/A4619,https://api.weather.gov/zones/forecast/FLZ137,https://api.weather.gov/zones/fire/FLZ137
A4620,NR-285,33.69861,-84.27261,249.936,America/New_York,https://api.weather.gov/stations/A4620,https://api.weather.gov/zones/forecast/GAZ045,https://api.weather.gov/zones/fire/GAZ045
A4624,White Pine,43.5776,-116.17816,836.9808,America/Boise,https://api.weather.gov/stations/A4624,https://api.weather.gov/zones/forecast/IDZ014,https://api.weather.gov/zones/fire/IDZ420
A4625,Pocatello STP,42.9164,-112.5158,1350.8736,America/Boise,https://api.weather.gov/stations/A4625,https://api.weather.gov/zones/forecast/IDZ054,https://api.weather.gov/zones/fire/IDZ413
A4626,Soda Springs SO2,42.6953,-111.5939,1825.1424,America/Boise,https://api.weather.gov/stations/A4626,https://api.weather.gov/zones/forecast/IDZ062,https://api.weather.gov/zones/fire/IDZ413
A4630,Alton,38.90132,-90.14621,166.116,America/Chicago,https://api.weather.gov/stations/A4630,https://api.weather.gov/zones/forecast/ILZ100,https://api.weather.gov/zones/fire/ILZ100
A4631,Portage-Hwy 12,41.6167,-87.1458,185.0136,America/Chicago,https://api.weather.gov/stations/A4631,https://api.weather.gov/zones/forecast/INZ002,https://api.weather.gov/zones/fire/INZ002
A4632,Evansville-Lloyd,37.97722,-87.59639,116.1288,America/Chicago,https://api.weather.gov/stations/A4632,https://api.weather.gov/zones/forecast/INZ086,https://api.weather.gov/zones/fire/INZ086
A4633,East Chicago - Marina,41.65345,-87.43544,178.0032,America/Chicago,https://api.weather.gov/stations/A4633,https://api.weather.gov/zones/forecast/LMZ743,
A4634,Goodland,39.3428,-101.703,1125.9312,America/Denver,https://api.weather.gov/stations/A4634,https://api.weather.gov/zones/forecast/KSZ013,https://api.weather.gov/zones/fire/KSZ013
A4635,BOSTON-KENMORE,42.3489,-71.0977,10.9728,America/New_York,https://api.weather.gov/stations/A4635,https://api.weather.gov/zones/forecast/MAZ015,https://api.weather.gov/zones/fire/MAZ015
A4636,Weymouth,42.24587,-70.96277,3.9624,America/New_York,https://api.weather.gov/stations/A4636,https://api.weather.gov/zones/forecast/MAZ016,https://api.weather.gov/zones/fire/MAZ016
A4645,Shapleigh Ball Park,43.58889,-70.87734,173.1264,America/New_York,https://api.weather.gov/stations/A4645,https://api.weather.gov/zones/forecast/MEZ018,https://api.weather.gov/zones/fire/MEZ109
A4647,Dillon,45.20645,-112.64252,1566.9768,America/Denver,https://api.weather.gov/stations/A4647,https://api.weather.gov/zones/forecast/MTZ328,https://api.weather.gov/zones/fire/MTZ111
A4648,Minneapolis-Pacific St,45.0083,-93.27704,246.888,America/Chicago,https://api.weather.gov/stations/A4648,https://api.weather.gov/zones/forecast/MNZ060,https://api.weather.gov/zones/fire/MNZ060
A4649,Minneapolis-Downtown,44.979,-93.2737,264.8712,America/Chicago,https://api.weather.gov/stations/A4649,https://api.weather.gov/zones/forecast/MNZ060,https://api.weather.gov/zones/fire/MNZ060
A4650,Minneapolis - Bottineau/Marshall Terrace,45.01361,-93.27205,249.936,America/Chicago,https://api.weather.gov/stations/A4650,https://api.weather.gov/zones/forecast/MNZ060,https://api.weather.gov/zones/fire/MNZ060
A4651,St. Paul - Downtown,44.9507,-93.0985,242.9256,America/Chicago,https://api.weather.gov/stations/A4651,https://api.weather.gov/zones/forecast/MNZ062,https://api.weather.gov/zones/fire/MNZ062
A4653,Front Street,39.13198,-94.53128,227.076,America/Chicago,https://api.weather.gov/stations/A4653,https://api.weather.gov/zones/forecast/MOZ037,https://api.weather.gov/zones/fire/MOZ037
A4655,Ramblewood Park,35.12395,-80.90758,180.1368,America/New_York,https://api.weather.gov/stations/A4655,https://api.weather.gov/zones/forecast/NCZ071,https://api.weather.gov/zones/fire/NCZ071
A4661,77th and Dodge,41.25948,-96.03471,314.8584,America/Chicago,https://api.weather.gov/stations/A4661,https://api.weather.gov/zones/forecast/NEZ052,https://api.weather.gov/zones/fire/NEZ052
A4662,16th and Whitmore,41.32247,-95.93799,296.8752,America/Chicago,https://api.weather.gov/stations/A4662,https://api.weather.gov/zones/forecast/NEZ052,https://api.weather.gov/zones/fire/NEZ052
A4663,Jersey City,40.73169,-74.06657,28.956,America/New_York,https://api.weather.gov/stations/A4663,https://api.weather.gov/zones/forecast/NJZ006,https://api.weather.gov/zones/fire/NJZ006
A4666,Holman Rd,32.4247,-106.6742,1357.884,America/Denver,https://api.weather.gov/stations/A4666,https://api.weather.gov/zones/forecast/NMZ411,https://api.weather.gov/zones/fire/NMZ112
A4667,7E Deming Airport,32.2558,-107.7228,1311.8592,America/Denver,https://api.weather.gov/stations/A4667,https://api.weather.gov/zones/forecast/NMZ407,https://api.weather.gov/zones/fire/NMZ111
A4669,Reno4,39.52192,-119.79544,1361.8464,America/Los_Angeles,https://api.weather.gov/stations/A4669,https://api.weather.gov/zones/forecast/NVZ003,https://api.weather.gov/zones/fire/NVZ420
A4670,Elko,40.83833,-115.766,1562.1,America/Los_Angeles,https://api.weather.gov/stations/A4670,https://api.weather.gov/zones/forecast/NVZ038,https://api.weather.gov/zones/fire/NVZ469
A4671,Linda,36.34938,-116.03197,890.016,America/Los_Angeles,https://api.weather.gov/stations/A4671,https://api.weather.gov/zones/forecast/NVZ017,https://api.weather.gov/zones/fire/NVZ462
